years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,126.94718170166016,1258428672.0,1264403584.0,1270990080.0,1278510336.0,1286316544.0,1294146432.0,1302579968.0,1312665088.0,1324148736.0,1336697984.0,1350149504.0,1366619776.0,1389794048.0,1421527808.0,1464767616.0,1522117376.0,1595132672.0,1689426048.0,1808447104.0,1957467264.0,2130428672.0,2340116224.0,2583457792.0,2861400320.0,3171691008.0,3514774016.0,3856242688.0,4147427072.0,4348103168.0,4409826304.0,4299091456.0,3989154816.0,3549405184.0,2996246784.0,2406555136.0,1929597696.0,1625380608.0,1449412992.0,1354712704.0,1257085568.0,1288302592.0
1985,127.5339126586914,1258423424.0,1264400640.0,1270931968.0,1278603136.0,1286509952.0,1294585472.0,1303224832.0,1312674944.0,1323705728.0,1335942528.0,1349042560.0,1365437568.0,1388091264.0,1418173056.0,1458954752.0,1513122048.0,1581017728.0,1667938560.0,1777600128.0,1917088256.0,2085530880.0,2293052672.0,2544316160.0,2845558528.0,3195217408.0,3577844480.0,3943363328.0,4247839488.0,4439242240.0,4484317184.0,4358832640.0,4033007872.0,3586980352.0,3031317248.0,2437099776.0,1948796672.0,1634673664.0,1454554368.0,1357496576.0,1257085568.0,1289427328.0
1986,127.7166976928711,1258348544.0,1264143232.0,1270958080.0,1279418112.0,1287659776.0,1296414720.0,1305411072.0,1315364224.0,1326281728.0,1338475776.0,1351730176.0,1367411456.0,1388597632.0,1418090240.0,1459009152.0,1512698496.0,1580823680.0,1666602880.0,1773950592.0,1911456128.0,2082387328.0,2289668608.0,2538368000.0,2838971136.0,3189618432.0,3562067712.0,3927811584.0,4245266432.0,4456417280.0,4529731584.0,4443329536.0,4142264576.0,3698418688.0,3119988992.0,2486300928.0,1962915456.0,1619626496.0,1437452032.0,1344834816.0,1257085568.0,1287801600.0
1987,127.57952880859375,1258299136.0,1264132864.0,1271286528.0,1280338176.0,1288968576.0,1298233344.0,1307699840.0,1318283136.0,1329597568.0,1341528576.0,1355028096.0,1370068096.0,1390729472.0,1420923008.0,1462658944.0,1516788224.0,1586655872.0,1673296512.0,1781888000.0,1920177152.0,2094601344.0,2303179264.0,2556955392.0,2860785664.0,3214314496.0,3583435264.0,3942781696.0,4258479104.0,4463227392.0,4541338112.0,4452189184.0,4149185792.0,3710416128.0,3151592704.0,2516717824.0,1989166720.0,1640983296.0,1449186688.0,1349916672.0,1257085568.0,1287911296.0
1988,127.16080474853516,1258236288.0,1264103552.0,1271419648.0,1280957312.0,1290498304.0,1300332032.0,1310778880.0,1322077696.0,1334031104.0,1346483968.0,1359353984.0,1373793792.0,1394517376.0,1423922944.0,1466778112.0,1523052672.0,1593283712.0,1681526400.0,1791408000.0,1931771008.0,2106983680.0,2321282816.0,2581989888.0,2890108672.0,3243909376.0,3614996480.0,3967520000.0,4274766848.0,4464855552.0,4529234432.0,4422027264.0,4114815232.0,3673867520.0,3126420224.0,2503477504.0,1990398848.0,1649516032.0,1454740992.0,1352835840.0,1257085568.0,1287559680.0
1989,126.7005386352539,1258177152.0,1263948800.0,1271563008.0,1281465600.0,1291799936.0,1302498816.0,1313992704.0,1326366848.0,1338551424.0,1351421440.0,1363927296.0,1377805568.0,1397705984.0,1427467008.0,1470514048.0,1527748864.0,1597746944.0,1687008384.0,1798154880.0,1938665600.0,2116831104.0,2333871616.0,2596410368.0,2904597760.0,3255418112.0,3621731072.0,3959283712.0,4248066304.0,4419263488.0,4462785536.0,4344194048.0,4035273728.0,3607484928.0,3079513600.0,2481442816.0,1990979712.0,1670799104.0,1485761152.0,1376898304.0,1257085568.0,1290083200.0
1990,126.13369750976562,1258155904.0,1263846912.0,1271672192.0,1282286848.0,1293802112.0,1305361408.0,1317688832.0,1330764544.0,1344187136.0,1357155968.0,1369565952.0,1382932480.0,1402157184.0,1431767168.0,1474802176.0,1532369280.0,1603940480.0,1693788800.0,1806648448.0,1950254592.0,2129007104.0,2347607296.0,2611119360.0,2918613504.0,3271080704.0,3633421568.0,3958627584.0,4231534592.0,4381150208.0,4397353472.0,4265123072.0,3957206016.0,3552525056.0,3058748928.0,2486051584.0,2004870272.0,1678767488.0,1488576384.0,1376496256.0,1257085568.0,1289188096.0
1991,125.80766296386719,1258129280.0,1263654016.0,1271596032.0,1282631424.0,1295164288.0,1307227520.0,1319873152.0,1334140544.0,1348217472.0,1361909504.0,1374136704.0,1386036736.0,1404453504.0,1434575488.0,1477730944.0,1534785920.0,1608216832.0,1699918336.0,1814007936.0,1959383168.0,2139202944.0,2363400704.0,2631013376.0,2942149888.0,3294122752.0,3651517952.0,3972914432.0,4238979840.0,4372523520.0,4375115264.0,4227976960.0,3921004800.0,3524454912.0,3041392896.0,2488423168.0,2017181184.0,1688175360.0,1493621760.0,1377501184.0,1257085568.0,1290201984.0
1992,126.01349639892578,1258099328.0,1263392256.0,1271190528.0,1282427136.0,1295308544.0,1308033024.0,1320606848.0,1335230720.0,1349548544.0,1362723584.0,1374369792.0,1385947008.0,1402987776.0,1432175744.0,1475135744.0,1532577920.0,1606682752.0,1699524992.0,1814509952.0,1959340800.0,2141939072.0,2367938816.0,2639559168.0,2948956928.0,3299774720.0,3656788992.0,3973599744.0,4240703232.0,4386897920.0,4391693824.0,4255012608.0,3946894336.0,3552254464.0,3068578816.0,2522166272.0,2051621632.0,1709765760.0,1504351232.0,1381383040.0,1257085568.0,1291137024.0
1993,125.85858917236328,1258079616.0,1263159680.0,1271155456.0,1282769920.0,1296823680.0,1310082944.0,1323211648.0,1337634048.0,1352292224.0,1365599616.0,1377099008.0,1388285824.0,1405388032.0,1433631488.0,1477078272.0,1534461824.0,1609126016.0,1702810752.0,1818205440.0,1962776192.0,2145898496.0,2373099776.0,2645158912.0,2960375296.0,3320949760.0,3683692800.0,4001939712.0,4269350912.0,4405939712.0,4398837760.0,4243695360.0,3929309184.0,3540855808.0,3064631808.0,2530422784.0,2064799104.0,1720560128.0,1509180800.0,1384473088.0,1257085568.0,1291729024.0
1994,125.65321350097656,1258058240.0,1262913280.0,1270933504.0,1282896768.0,1297783808.0,1312474368.0,1325796864.0,1340053120.0,1355260160.0,1368631296.0,1379877760.0,1390580736.0,1407265152.0,1435717888.0,1479095552.0,1536418688.0,1611900544.0,1707808512.0,1826428672.0,1972973312.0,2156012288.0,2384900096.0,2657555968.0,2979363328.0,3346271232.0,3708739584.0,4028500992.0,4293129472.0,4416631808.0,4395636224.0,4219706112.0,3907750400.0,3520846592.0,3053747712.0,2537835520.0,2075417600.0,1729446400.0,1513790208.0,1386870528.0,1257085568.0,1292189312.0
1995,125.42424011230469,1258032512.0,1262664576.0,1270538752.0,1282788480.0,1298338432.0,1314257792.0,1328358144.0,1342931584.0,1357956864.0,1371890304.0,1383304192.0,1393673600.0,1409728640.0,1437677824.0,1482109824.0,1540306432.0,1616362368.0,1713966848.0,1834995200.0,1984625536.0,2166687232.0,2397416704.0,2672565760.0,2995336192.0,3367148288.0,3728858624.0,4046601728.0,4312280576.0,4430099968.0,4391208960.0,4194474752.0,3881126400.0,3489204736.0,3038462720.0,2544934912.0,2084190464.0,1735128832.0,1516217984.0,1387997056.0,1257085568.0,1293201664.0
1996,125.13824462890625,1258016640.0,1262477952.0,1270250240.0,1282736896.0,1299139456.0,1316014720.0,1331178368.0,1346389504.0,1361770880.0,1375888000.0,1387556864.0,1398087936.0,1413421952.0,1442620416.0,1487196928.0,1545489024.0,1623011840.0,1721883648.0,1843805568.0,1993631488.0,2176684288.0,2406349056.0,2680908800.0,3007584512.0,3379724800.0,3739501312.0,4054585344.0,4318623744.0,4431952384.0,4376870400.0,4169816576.0,3860826624.0,3464021760.0,3026397184.0,2551036928.0,2092990720.0,1743257600.0,1519223424.0,1388767232.0,1257085568.0,1294793344.0
1997,125.04601287841797,1257988096.0,1262267392.0,1269944576.0,1282507904.0,1299425920.0,1317241856.0,1334065920.0,1349798656.0,1365436672.0,1379263104.0,1391121664.0,1401651712.0,1417336448.0,1446099200.0,1490614912.0,1549274112.0,1627858688.0,1726059776.0,1847152000.0,1995946624.0,2177824000.0,2402981376.0,2674243840.0,2996438528.0,3373581824.0,3742211328.0,4067152384.0,4338337792.0,4456118784.0,4392284160.0,4173286400.0,3856525312.0,3454718208.0,3028023552.0,2566503936.0,2111217920.0,1756149248.0,1524040320.0,1390812160.0,1257085568.0,1296308864.0
1998,124.92974853515625,1257965312.0,1262090880.0,1269587968.0,1282346624.0,1299872256.0,1318732672.0,1336495488.0,1353188992.0,1369225984.0,1383538944.0,1395535744.0,1406268800.0,1421647744.0,1450706048.0,1495137664.0,1555312512.0,1633070720.0,1731161856.0,1851419520.0,2000180224.0,2179534080.0,2396695296.0,2662204672.0,2983696384.0,3361867264.0,3738933248.0,4065107200.0,4337356800.0,4467408896.0,4408782848.0,4183033600.0,3855704576.0,3453423616.0,3029617408.0,2583318528.0,2130887168.0,1771094784.0,1530804480.0,1392645504.0,1257085568.0,1297166848.0
1999,124.7989730834961,1257946496.0,1261905152.0,1269323776.0,1282219136.0,1300063744.0,1320187392.0,1338586624.0,1356462976.0,1373571968.0,1388433920.0,1400484096.0,1411264896.0,1426691840.0,1456030848.0,1500628480.0,1561634176.0,1638881536.0,1736849920.0,1856909952.0,2003791488.0,2180009728.0,2392668672.0,2650228480.0,2968964608.0,3343956480.0,3724929536.0,4052708608.0,4328906240.0,4476571136.0,4420801024.0,4191297280.0,3857561344.0,3457088768.0,3034233088.0,2595705344.0,2149406208.0,1785013376.0,1538559872.0,1396553728.0,1257085568.0,1298303616.0
2000,124.79572296142578,1257936256.0,1261770624.0,1269120128.0,1281729536.0,1299871872.0,1320874752.0,1340817536.0,1359054464.0,1376969728.0,1392312704.0,1405338496.0,1417064320.0,1431251072.0,1460237952.0,1504434048.0,1564542848.0,1642405376.0,1740655360.0,1859529472.0,2003067264.0,2174285056.0,2382865408.0,2637620480.0,2948152576.0,3318207232.0,3702229248.0,4038311680.0,4314834944.0,4476316160.0,4439456256.0,4211453184.0,3872950528.0,3471345664.0,3044533760.0,2611383552.0,2170926080.0,1804832768.0,1551508224.0,1407014272.0,1257085568.0,1306969344.0
2001,124.91441345214844,1257920256.0,1261697280.0,1268962688.0,1281275136.0,1299433984.0,1320661760.0,1342304896.0,1361345792.0,1379303296.0,1395669504.0,1409123712.0,1420741248.0,1434513280.0,1462601088.0,1506879872.0,1567228032.0,1644984192.0,1741870336.0,1859266432.0,1998124672.0,2165642240.0,2368323840.0,2617060864.0,2920361472.0,3280538112.0,3664368128.0,4011871744.0,4294983680.0,4480532480.0,4473339392.0,4252920320.0,3904661248.0,3497388288.0,3063416576.0,2628258304.0,2192497664.0,1825362688.0,1564295680.0,1414882176.0,1257085568.0,1313659264.0
2002,125.21183013916016,1257915904.0,1261661184.0,1268821760.0,1280943616.0,1298728960.0,1320235136.0,1342752128.0,1363592064.0,1382179840.0,1398859136.0,1412340224.0,1423784960.0,1436935552.0,1463815680.0,1508076160.0,1568559616.0,1645970688.0,1741907072.0,1856792832.0,1991503488.0,2154054656.0,2353377024.0,2590893312.0,2887765760.0,3239685632.0,3616882432.0,3968397568.0,4260370944.0,4470145536.0,4510490112.0,4319903232.0,3969722112.0,3551273216.0,3105883136.0,2668487680.0,2239233024.0,1864633216.0,1586737408.0,1426485888.0,1257085568.0,1323468544.0
2003,125.30620574951172,1257937920.0,1261735808.0,1268864768.0,1280739712.0,1298106112.0,1319627392.0,1342987136.0,1364687360.0,1384118400.0,1401254144.0,1414505472.0,1425467392.0,1439435904.0,1465757568.0,1510643456.0,1570330240.0,1647986048.0,1743847168.0,1857226112.0,1989543040.0,2151384832.0,2346330624.0,2577476096.0,2864866304.0,3210802944.0,3589726208.0,3955667200.0,4257725184.0,4479635456.0,4530612736.0,4342932480.0,3986551040.0,3561529856.0,3110243328.0,2674729728.0,2259801344.0,1889323904.0,1608544640.0,1442490496.0,1257085568.0,1335492864.0
2004,125.49163055419922,1257951232.0,1261805568.0,1269042304.0,1280890368.0,1297956480.0,1319570944.0,1343049856.0,1365313920.0,1384805632.0,1401564672.0,1414539904.0,1425079168.0,1439665792.0,1467090816.0,1511112448.0,1570667008.0,1648103296.0,1743634176.0,1856978560.0,1988600576.0,2147197184.0,2337395456.0,2561143296.0,2840162560.0,3178540032.0,3559197696.0,3936126208.0,4249543936.0,4484144128.0,4550115840.0,4368084992.0,4008840448.0,3578701824.0,3123666688.0,2686944768.0,2282201344.0,1916415488.0,1635463296.0,1460974080.0,1257085568.0,1350061184.0
