years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,121.33719635009766,33596640.0,33622188.0,33704320.0,33893956.0,34223680.0,34494108.0,34952212.0,35560824.0,36504948.0,37539232.0,38218632.0,38965420.0,39859548.0,40658396.0,41603092.0,42883684.0,44380568.0,46088704.0,47812720.0,49708584.0,52222948.0,54944044.0,57998372.0,61573424.0,66842496.0,73672840.0,79497448.0,82377680.0,81426656.0,80118704.0,78007096.0,75535968.0,72382112.0,67916784.0,61900852.0,54089164.0,47856676.0,42708500.0,38508608.0,33593048.0,34883912.0
1985,121.35578918457031,33597008.0,33624028.0,33711268.0,33898848.0,34233344.0,34497968.0,34964136.0,35567544.0,36512784.0,37553496.0,38237760.0,38985380.0,39873040.0,40670280.0,41621316.0,42915748.0,44384256.0,46088268.0,47844428.0,49798692.0,52383684.0,55162088.0,58310816.0,61914124.0,67299496.0,74081536.0,79563088.0,82347424.0,81846968.0,80519112.0,78192968.0,75539304.0,72710816.0,68131024.0,62030516.0,53984300.0,47552260.0,42438292.0,38582088.0,33593048.0,35960032.0
1986,119.93475341796875,33596328.0,33630800.0,33758624.0,33961276.0,34305880.0,34740400.0,35254192.0,35863772.0,36854472.0,37951908.0,38746992.0,39439948.0,40199904.0,41242492.0,42373176.0,43583424.0,44962220.0,46606824.0,48170488.0,50226372.0,52668256.0,55614220.0,59175532.0,62965448.0,67818344.0,73790832.0,80708600.0,86004064.0,86285648.0,84050776.0,82372448.0,77670856.0,73027744.0,67438088.0,58442516.0,51245244.0,46066940.0,41580444.0,37687708.0,33593048.0,36200888.0
1987,119.61273956298828,33596016.0,33639132.0,33777068.0,33986624.0,34341872.0,34789512.0,35296644.0,35866664.0,36841840.0,37956696.0,38942072.0,39635928.0,40460516.0,41524284.0,42838108.0,43925396.0,45396300.0,46678116.0,48279916.0,50446288.0,53229884.0,56067728.0,59573100.0,63649976.0,68940128.0,74862408.0,81749208.0,87925680.0,89177008.0,86987656.0,84840856.0,78293232.0,72826896.0,66291384.0,57902548.0,50844008.0,45752444.0,40967744.0,37615308.0,33593048.0,35460688.0
1988,119.04685974121094,33595508.0,33638260.0,33784128.0,33993808.0,34349780.0,34790208.0,35275104.0,35890792.0,36835884.0,38011976.0,39219396.0,40045352.0,41011124.0,42057116.0,43287580.0,44326192.0,45666044.0,47218232.0,48753252.0,50907668.0,53557260.0,56347604.0,60074180.0,64208172.0,69756624.0,76588816.0,83456096.0,89526472.0,91538104.0,90023312.0,86663552.0,78622296.0,71384920.0,64607920.0,57032980.0,49868984.0,44756372.0,39954772.0,37664156.0,33593048.0,35067412.0
1989,118.00377655029297,33594680.0,33638496.0,33800996.0,34002404.0,34379000.0,34808236.0,35239092.0,35927224.0,36878208.0,38150984.0,39646296.0,40771480.0,41668420.0,42591480.0,43830384.0,45027848.0,46219636.0,47852584.0,49473544.0,51386320.0,53796700.0,56848076.0,60104372.0,64800532.0,70005880.0,76918096.0,85135072.0,90558984.0,93283184.0,92176536.0,86582944.0,79120536.0,70552744.0,63746672.0,55627864.0,48651308.0,42915540.0,38675956.0,36873468.0,33593048.0,34451080.0
1990,116.56993865966797,33594588.0,33646608.0,33817768.0,34023824.0,34410184.0,34847556.0,35238304.0,35923740.0,36980584.0,38435832.0,40242980.0,41629908.0,42352820.0,43560748.0,44826724.0,45860244.0,46894964.0,48323336.0,49727672.0,51624892.0,53998628.0,57037464.0,61049592.0,65035472.0,70725888.0,77500384.0,84387416.0,89694280.0,93426424.0,92074656.0,87380336.0,79083976.0,70248544.0,64191808.0,54246700.0,45928668.0,40864004.0,37412932.0,35757668.0,33593048.0,34006644.0
1991,115.39401245117188,33594380.0,33655208.0,33830052.0,34040288.0,34422844.0,34844868.0,35211168.0,35951456.0,37075580.0,38686876.0,40687940.0,42271080.0,43046304.0,44349652.0,45597844.0,46368944.0,47318172.0,48552724.0,50148492.0,52363844.0,54539484.0,57665172.0,61273116.0,65670080.0,70635016.0,77478432.0,84566376.0,89267088.0,93881240.0,92210264.0,86261216.0,78136456.0,69799496.0,62517928.0,53331288.0,45103424.0,39860708.0,36253196.0,34933252.0,33593048.0,33754864.0
1992,117.26387786865234,33595552.0,33668824.0,33840744.0,34023940.0,34367152.0,34751460.0,35013760.0,35744852.0,36876164.0,38334784.0,40168920.0,41795668.0,42679804.0,43750288.0,45045764.0,45939180.0,46815672.0,47894384.0,49475108.0,51719216.0,54197832.0,57537980.0,60860620.0,64916444.0,69450080.0,76052432.0,82943976.0,89127152.0,93501136.0,95131936.0,90318512.0,81124544.0,73108408.0,65415856.0,56184980.0,48378700.0,42075164.0,37246492.0,35057540.0,33593048.0,33664208.0
1993,117.34356689453125,33596248.0,33676792.0,33872924.0,34064524.0,34377568.0,34816876.0,35048996.0,35747932.0,36832956.0,38387408.0,40196400.0,41977104.0,43041664.0,43887012.0,45122908.0,45902620.0,46872988.0,47973852.0,49496092.0,51707156.0,54420172.0,57466160.0,60619436.0,64953448.0,69658656.0,75917528.0,83147216.0,89030152.0,94189696.0,96584096.0,91628824.0,81396384.0,73607736.0,66202912.0,57444348.0,49450152.0,42820292.0,37562180.0,35067780.0,33593048.0,33664416.0
1994,117.27238464355469,33597120.0,33691116.0,33893292.0,34107948.0,34410036.0,34846700.0,35068452.0,35681360.0,36834348.0,38385440.0,40176524.0,42162172.0,43292172.0,44027720.0,45376144.0,45985208.0,46942344.0,48099816.0,49499896.0,51638408.0,54549524.0,57577180.0,60506268.0,64866852.0,69742936.0,76257968.0,83504784.0,89611048.0,95434136.0,97900888.0,92471536.0,81817376.0,73903048.0,66078420.0,57852584.0,49631196.0,42787836.0,37704044.0,34960364.0,33593048.0,33689852.0
1995,117.41759490966797,33597444.0,33707072.0,33915620.0,34110056.0,34424932.0,34813004.0,35102212.0,35643516.0,36765392.0,38327712.0,40044388.0,42229248.0,43398896.0,44019340.0,45516172.0,46150828.0,46962020.0,48211568.0,49463560.0,51668936.0,54597388.0,57550812.0,60363696.0,64475524.0,69583496.0,76612288.0,84257864.0,90683504.0,96788904.0,99397360.0,93674352.0,82349496.0,73597096.0,65919196.0,58281080.0,49883968.0,42752724.0,37903860.0,34983428.0,33593048.0,33786036.0
1996,117.2652359008789,33598664.0,33724760.0,33948848.0,34149732.0,34437556.0,34833340.0,35128340.0,35586212.0,36702644.0,38282900.0,40068468.0,42297680.0,43589112.0,44277252.0,45568900.0,46310572.0,47178740.0,48367348.0,49706288.0,51650564.0,54607496.0,57593768.0,60366932.0,64135676.0,69656456.0,76824224.0,84454824.0,91428976.0,97598864.0,99971680.0,94724256.0,82739592.0,73282344.0,65529876.0,57899256.0,50446884.0,42658740.0,37704268.0,34959564.0,33593048.0,33825696.0
1997,117.04100799560547,33599716.0,33743352.0,33981548.0,34181196.0,34454356.0,34857964.0,35164724.0,35548348.0,36686696.0,38237892.0,40078512.0,42379644.0,43850076.0,44503100.0,45537700.0,46509076.0,47358676.0,48585776.0,49918224.0,51704876.0,54777884.0,57624424.0,60547412.0,64335320.0,69760560.0,76981984.0,84492704.0,92121192.0,98172824.0,100540496.0,94659728.0,82462864.0,72404472.0,65124216.0,57619464.0,50415592.0,43139236.0,38004368.0,35206484.0,33593048.0,33873304.0
1998,116.64590454101562,33600268.0,33763016.0,34012076.0,34206176.0,34478144.0,34873552.0,35197424.0,35568896.0,36616212.0,38273952.0,40077064.0,42418512.0,44070832.0,44816608.0,45755560.0,46778496.0,47458716.0,48970608.0,50158700.0,51978160.0,54732796.0,57728476.0,60642608.0,64452196.0,69872664.0,77108624.0,84592080.0,92535488.0,98750488.0,101350888.0,94909864.0,82243704.0,72142104.0,64639948.0,56665448.0,48771908.0,42978164.0,38055156.0,35317376.0,33593048.0,33848080.0
1999,116.3559341430664,33601088.0,33777996.0,34043888.0,34229748.0,34490812.0,34858364.0,35205824.0,35567552.0,36554180.0,38294876.0,40025788.0,42416468.0,44215060.0,44999692.0,45920648.0,46987076.0,47632796.0,49226268.0,50361884.0,52254908.0,54767152.0,57955696.0,60744676.0,64645684.0,70159768.0,77227432.0,84736328.0,93031472.0,99675824.0,102182032.0,95220560.0,82165952.0,72020744.0,63592488.0,55359208.0,47765064.0,42471188.0,37951916.0,35625612.0,33593048.0,33808984.0
2000,116.09886932373047,33601608.0,33795076.0,34076092.0,34251976.0,34488116.0,34831796.0,35209768.0,35580236.0,36501760.0,38233584.0,39964416.0,42376772.0,44190380.0,45171760.0,46196556.0,47116664.0,47918972.0,49409716.0,50655376.0,52231024.0,54933264.0,58125568.0,60960232.0,64901480.0,70340712.0,77335488.0,84996032.0,93590016.0,100465696.0,103264280.0,95408080.0,82197536.0,71299144.0,62428644.0,53835988.0,46917156.0,41775820.0,37958004.0,35941412.0,33593048.0,33899436.0
