years,0,1,2,3,4,5,6,7,8,9
1984,662916525,288403094,3309357,28671417,233483242,27528841,11973867,799214,0,0
1985,662819840,287394159,3377034,29365170,235216087,26211353,11835470,866444,0,0
1986,662674098,287142535,4032877,32567218,231978123,25896629,11784508,1009569,0,0
1987,662623172,285512632,4725820,33928666,230166929,26479009,12487237,1162092,0,0
1988,662574302,284181050,5495409,34333073,228185526,27529365,13409811,1377021,0,0
1989,662544709,284461085,6054939,33848925,225684947,28699885,14207173,1583894,0,0
1990,662511765,283906355,6301091,33652600,223056559,30518532,15376440,1762215,0,0
1991,662480145,282818636,6594134,33654353,220258705,32418325,16875579,1985680,0,0
1992,662453004,281753315,6922648,34148400,217465996,33919706,18139233,2283255,0,0
1993,662429165,280492865,7253178,34408717,214562891,35495830,19821197,2621714,0,0
1994,662408617,279134179,7691863,34452445,211416597,37398432,21580077,3003347,0,0
1995,662390955,278009606,8131762,34564136,207783987,39410156,23451232,3343723,0,0
1996,662380547,276955371,8384851,34575903,204258641,41518057,25430735,3581452,0,0
1997,662367716,275893777,8666159,34642982,201235127,43229552,27268124,3782120,0,0
1998,662361687,274968701,8937365,34537964,198219902,45007898,29110032,3942008,0,0
1999,662361172,274138582,9235993,34412271,195353967,46649758,30866984,4066830,0,0
2000,662344742,273815710,9515250,34153666,192571178,48252233,32240776,4192002,0,0
2001,662356301,273660752,9809202,33968001,189740456,49922426,33315593,4312826,0,0
2002,662354253,273327206,10018890,33570918,187733071,51690070,34098468,4292681,0,0
2003,662306170,273552835,10269619,33184377,185305359,53749245,34397450,4320502,0,0
2004,662300773,273754089,10533387,32908134,182894627,55726390,34664731,4303426,0,0
2005,662290381,274067821,10792309,32728269,180515944,57716068,34733395,4241370,0,0
2006,662283085,274378436,11116973,32523658,178410252,59552480,34688829,4131844,0,0
2007,662277459,274266236,11313272,32303510,176980092,61213416,34721951,4009621,0,0
2008,662266084,274503847,11522416,32078384,175552279,62897408,34393575,3871564,0,0
2009,662257116,274789298,11731160,31811976,174083230,64602125,34099453,3711199,0,0
2010,662251389,275192403,12008473,31385576,173123159,65569361,33877667,3677529,0,0
2011,662245549,276057481,12155648,30833817,171959884,67073047,33284239,3475892,0,0
2012,662245745,277082969,12276367,30468973,170763423,68185739,32847643,3214698,0,0
2013,662251720,278122744,12271011,30013495,169955916,69655543,32023504,2791624,0,0
2014,662280802,278730545,12322688,29673254,167728434,71740239,32074185,2535410,0,0
2015,662292816,278637012,12408680,29573373,165849814,73525615,32388638,2409609,0,0
2016,662270160,279202013,12589824,29398252,163322612,75529987,32473467,2299242,0,0
2017,662278574,279799437,12578304,29227802,160868080,77712757,32525464,2095139,0,0
2018,662273610,280533804,12615309,28845946,158392561,80131693,32373779,1918855,0,0
2019,662280778,281359485,12583766,28324418,156294494,82283248,32254134,1705234,0,0
2020,662296125,282260305,12590477,27817131,153632416,85120695,31866310,1502098,0,0
2021,662302436,283471052,12552513,27485761,151162050,87410105,31374136,1327504,0,0
2022,662336984,284476489,12454326,27361818,149237851,89033348,31009660,1175081,0,0
2023,662442214,285589777,12341786,27259010,148053429,89351719,31019213,1028409,0,0
2024,661526674,288077935,12153160,26644279,144655331,89647860,33431236,949082,0,0
