years,0,1,2,3,4,5,6,7,8,9
1984,41243193,3803472,14363,92191,13187166,326521,134,0,0,0
1985,41243206,3803471,14327,92283,13187007,326611,135,0,0,0
1986,41241900,3767280,13366,91972,13267169,285225,128,0,0,0
1987,41241825,3782221,13840,96789,13250506,281722,137,0,0,0
1988,41241346,3811719,14565,104539,13192023,302689,159,0,0,0
1989,41241473,3859906,15569,111466,13102587,335815,224,0,0,0
1990,41241164,3927746,16348,115672,12982286,383595,229,0,0,0
1991,41241124,3960065,16792,120722,12882855,445261,221,0,0,0
1992,41240946,3998055,17126,125987,12753714,530964,248,0,0,0
1993,41240798,4037486,17957,132527,12595595,642454,223,0,0,0
1994,41240550,4081145,18276,136606,12400818,789412,233,0,0,0
1995,41240430,4127797,18510,140237,12179080,960738,248,0,0,0
1996,41240231,4175942,19594,142850,11939044,1149094,285,0,0,0
1997,41239984,4220773,20647,146040,11736437,1302966,193,0,0,0
1998,41239439,4265659,22837,149029,11499240,1490655,181,0,0,0
1999,41239220,4307814,24615,152568,11333511,1609169,143,0,0,0
2000,41238994,4340150,27230,157983,11166041,1736503,139,0,0,0
2001,41238645,4371944,28893,164125,10998224,1865098,111,0,0,0
2002,41238403,4390630,30694,170877,10917731,1918605,100,0,0,0
2003,41237624,4430857,32381,176723,10686015,2103367,73,0,0,0
2004,41237274,4473150,34037,183319,10444751,2294479,30,0,0,0
2005,41236798,4512299,35854,191719,10184700,2505659,11,0,0,0
2006,41236609,4554797,37185,199872,9991183,2647383,11,0,0,0
2007,41236245,4577769,38246,207771,9913623,2693375,11,0,0,0
2008,41235971,4600392,39693,215338,9818643,2756988,15,0,0,0
2009,41235818,4621016,40725,223537,9743042,2802886,16,0,0,0
2010,41235519,4636427,41088,227635,9751546,2774809,16,0,0,0
2011,41235424,4650975,42824,231942,9782330,2723530,15,0,0,0
2012,41235555,4659851,46902,230688,9929357,2564673,14,0,0,0
2013,41235766,4725305,51123,217803,9971765,2465220,58,0,0,0
2014,41235786,4745963,53251,216277,9839017,2576553,193,0,0,0
2015,41235912,4768633,53696,215432,9613144,2778986,1237,0,0,0
2016,41235786,4796975,53891,217280,9335525,3025457,2126,0,0,0
2017,41235931,4823939,54772,217869,9016840,3316303,1386,0,0,0
2018,41235944,4850320,57178,220419,8551106,3751506,567,0,0,0
2019,41235917,4863650,59993,222368,7990908,4293841,363,0,0,0
2020,41237299,4891254,65847,226735,7452984,4792622,299,0,0,0
2021,41235403,4914456,71610,235158,7000204,5210018,191,0,0,0
2022,41235624,4930936,78613,250370,6677131,5494304,62,0,0,0
2023,41235220,4947064,82885,272763,6427716,5701363,29,0,0,0
2024,41223690,4907982,88263,379594,5705004,6327174,35333,0,0,0
