years,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1984,662916525,304295046,206067641,193210,17815169,31853955,46362,23048149,30483,0,0,10512464,306553,0
1985,662819840,302502930,209046929,149735,16995093,31992300,46374,22570002,36664,0,0,10621154,304536,0
1986,662674098,299782259,216346030,169701,15803351,28773966,40879,22249496,35156,0,0,10858036,352585,0
1987,662623172,296521645,220941074,171723,15645396,26739848,39534,22952312,32560,0,0,11054604,363689,0
1988,662574302,294492908,221901073,172225,16082320,26008774,37052,24162431,39225,0,0,11257579,357668,0
1989,662544709,295115814,219923944,208226,16684764,25471280,38660,25116059,43552,0,0,11581323,357226,0
1990,662511765,295045987,216670795,255017,17903024,25618256,40643,26518332,59309,0,0,12106647,355782,0
1991,662480145,293677758,215719744,161485,18476984,25510907,40542,28006653,94445,0,0,12566655,350239,0
1992,662453004,291996823,217840266,144316,18506435,24303327,33051,28426934,139869,0,0,12890868,350664,0
1993,662429165,290084040,218518223,144825,18490124,24043165,33918,29512281,215918,0,0,13239811,374087,0
1994,662408617,288208225,218581923,155414,18661995,23934640,34615,30748646,323685,0,0,13636304,391493,0
1995,662390955,286607430,218057352,175219,18804675,23877668,35484,32243291,483000,0,0,14002149,408334,0
1996,662380547,285199826,216688542,205462,19042374,24098659,38561,33953579,700247,0,0,14351915,425845,0
1997,662367716,283799161,215424471,244134,19258927,24532328,42006,35326298,969516,0,0,14678411,442589,0
1998,662361687,282593133,213829746,286243,19486540,24937827,45613,36809527,1284965,0,0,14992316,457960,0
1999,662361172,281583404,211821987,341916,19848751,25437484,48965,38216631,1657242,0,0,15297697,470308,0
2000,662344742,280811376,209817623,402602,20115927,25817611,52095,39593249,2070939,0,0,15580314,479079,0
2001,662356301,280456903,207237085,475335,20647364,26319137,52613,40756559,2504407,0,0,15798901,480952,0
2002,662354253,279673234,206063309,565410,20965252,26597233,45974,41423448,2855691,0,0,16050794,490959,0
2003,662306170,279189722,203904340,686151,21513109,26891105,48863,42479504,3352775,0,0,16209816,504002,0
2004,662300773,278918639,201774959,818236,22080818,27015208,52670,43430714,3878831,0,0,16296650,518059,0
2005,662290381,278852969,199206273,978058,22907030,27288073,57442,44172903,4372502,0,0,16428441,531485,0
2006,662283085,279023631,196675155,1178726,23584873,27463145,62392,44866819,4849953,0,0,16554552,543226,0
2007,662277459,278536391,194841175,1397814,24475077,27555240,68421,45319772,5346078,0,0,16710157,557973,0
2008,662266084,278155908,192854462,1639684,25471929,27645408,77601,45755555,5862324,0,0,16784312,572290,0
2009,662257116,277952264,190716843,1934451,26556939,27623678,87092,46153708,6338393,0,0,16877877,587196,0
2010,662251389,277878840,188999937,2239875,27444738,27695900,100226,46770091,6375078,0,0,16724321,605162,0
2011,662245549,278547502,185920156,2592371,28991857,27612337,108772,46568244,7070785,0,0,16809297,618687,0
2012,662245745,279348004,182587178,3006453,30665043,27595842,118977,46260096,7700151,0,0,16920788,637280,0
2013,662251720,280616266,178888082,3476679,32763672,27751112,137194,45684272,7828172,0,0,17024127,664261,0
2014,662280802,280789831,175339100,3881937,34609238,27738310,191443,46348401,8173157,0,0,17048975,684363,0
2015,662292816,280193614,173948888,4517369,34919593,27205351,244269,47388552,8596214,0,0,17086938,691953,0
2016,662270160,280139906,171208228,5067670,36105331,26895750,281715,48618758,8819318,0,0,16989397,689324,0
2017,662278574,280108261,168054820,5558699,37783402,26621292,299681,49961691,8703611,0,0,17028116,687410,0
2018,662273610,280458937,164595807,5953588,39899771,26474951,309225,51072542,8413856,0,0,16946881,686389,0
2019,662280778,280849327,162149959,6361108,41726000,25968464,333126,52095778,7847675,0,0,16789977,683365,0
2020,662296125,281491535,159785882,6862391,43851621,25362243,364650,52761186,7054652,0,0,16566827,688445,0
2021,662302436,282407002,157862965,7295934,45803733,24803790,393378,52980808,6249496,0,0,16292524,693491,0
2022,662336984,283232206,156873136,7539105,47049173,24411777,412989,53172226,5477447,0,0,15887395,693119,0
2023,662442214,284447235,155706327,7425396,48193844,24117913,445679,53468209,4844924,0,0,15294361,699455,0
2024,661526674,288212494,153879408,7420929,45630622,23625203,468439,56611533,4664267,0,0,14360854,685134,0
