years,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1984,317435399,34471265,37339373,278,2951470,4191794,0,6705602,27867,0,0,341966,0,0
1985,317434302,34225350,38117682,59,2688660,3905565,0,6718140,27411,0,0,347845,0,0
1986,317424800,33940032,39391782,46,2609238,3317161,0,6397715,26146,0,0,358094,0,0
1987,317418073,33786944,39780694,31,2581991,3039852,0,6461574,29606,0,0,366249,0,0
1988,317413292,33758038,39622026,8,2643985,2920472,0,6701377,36580,0,0,369236,0,0
1989,317408170,33851549,39430218,69,2754601,2867557,0,6748152,34952,0,0,369746,0,0
1990,317403571,33942039,38670740,91,3248996,2945230,0,6832163,45133,0,0,377051,0,0
1991,317398962,34022408,38122688,71,3367602,2979635,0,7124662,73187,0,0,375799,0,0
1992,317395835,34019333,38145559,92,3388266,2846400,0,7183032,111074,0,0,375423,0,0
1993,317391716,34012952,37865416,135,3365718,2817361,0,7458880,178505,0,0,374331,0,0
1994,317388408,34004314,37436299,166,3348842,2820996,0,7817083,275014,0,0,373892,0,0
1995,317385554,34034044,36855900,229,3320387,2833484,0,8249352,415544,0,0,370520,0,0
1996,317383471,34089154,36129966,321,3335266,2856102,0,8695434,609490,0,0,365810,0,0
1997,317381007,34138868,35477659,437,3323349,2917616,0,9013394,849532,0,0,363152,0,0
1998,317379384,34202861,34800659,668,3304189,2948336,0,9334088,1141759,0,0,353070,0,0
1999,317377774,34282489,34108415,887,3309433,3007488,0,9541076,1491440,0,0,346012,0,0
2000,317375732,34380788,33388373,1512,3302671,3033349,0,9763382,1878043,0,0,341164,0,0
2001,317374083,34506777,32746023,2071,3270495,3119239,0,9833371,2278858,0,0,334097,0,0
2002,317373019,34582878,32334795,4153,3232252,3203616,0,9811857,2593631,0,0,328813,0,0
2003,317370767,34645700,31689667,9126,3161913,3297539,0,9927208,3041676,0,0,321418,0,0
2004,317369719,34722259,30985781,16695,3090152,3412988,0,10042368,3512113,0,0,312939,0,0
2005,317368418,34797898,30357915,26822,3049816,3515207,0,10093488,3950007,0,0,305443,0,0
2006,317367759,34859640,29844035,41829,2994841,3540048,0,10150090,4366832,0,0,299940,0,0
2007,317367154,34921449,29267217,52603,2986014,3587139,0,10183049,4803860,0,0,296529,0,0
2008,317366006,34977524,28668154,62136,2988833,3648652,0,10202925,5261930,0,0,288854,0,0
2009,317364848,35047837,28133390,75989,3031939,3708654,0,10137007,5680382,0,0,284968,0,0
2010,317364814,35061126,27770725,97077,2913381,3957108,0,10342046,5686347,0,0,272390,0,0
2011,317363430,35207465,27161373,130912,3054257,3975650,0,9986359,6318803,0,0,266765,0,0
2012,317363638,35313004,26636928,174893,3256783,3961881,32,9599171,6894878,0,0,263806,0,0
2013,317363256,35623288,26169790,234471,3704102,4006158,108,9095943,7006144,0,0,261754,0,0
2014,317362483,35698538,25258031,272174,4032411,4003793,170,9260397,7318399,0,0,258618,0,0
2015,317361720,35708086,24575157,348132,4167590,3970233,212,9368845,7708715,0,0,256324,0,0
2016,317361229,35751936,23652687,417187,4403066,3927432,446,9798540,7899635,0,0,252856,0,0
2017,317360738,35822722,22633857,471086,4799518,3871177,1003,10458667,7792628,0,0,253618,0,0
2018,317360549,35921546,21559832,510313,5397680,3830751,4151,11090392,7538010,0,0,251790,0,0
2019,317361233,36029249,20532322,550349,5989906,3697647,8215,12012702,7032034,0,0,251357,0,0
2020,317361108,36139452,19583691,610333,6827380,3565989,15363,12831723,6283560,0,0,246415,0,0
2021,317361116,36253795,18851296,641671,7732017,3457671,20264,13376234,5529622,0,0,241328,0,0
2022,317361971,36356808,18177822,640856,8725844,3386512,23522,13749455,4806627,0,0,235597,0,0
2023,317362818,36456631,17335835,598330,9927149,3347494,25625,13986145,4195953,0,0,229034,0,0
2024,317329327,36448235,16448570,639306,10979227,3128693,29459,14643668,3586760,0,0,231769,0,0
