years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,90.73216247558594,1257984896.0,1265010048.0,1277123328.0,1292427648.0,1312926080.0,1340316160.0,1377851520.0,1430131200.0,1497866752.0,1583047168.0,1688305536.0,1813146112.0,1954209920.0,2107522816.0,2267664384.0,2428106496.0,2577382656.0,2718470656.0,2845402368.0,2945082880.0,3008873216.0,3032136448.0,3001855744.0,2909338880.0,2756236288.0,2570411264.0,2363419904.0,2145811584.0,1946253184.0,1784875264.0,1646359296.0,1533073280.0,1446343040.0,1384987776.0,1342100096.0,1314372736.0,1295786752.0,1282970752.0,1273070080.0,1257085568.0,1266683776.0
1985,91.35408020019531,1257954304.0,1264944256.0,1277240320.0,1292579584.0,1313223552.0,1340253952.0,1377260288.0,1428046848.0,1494118784.0,1576691200.0,1678541440.0,1800177536.0,1938834688.0,2090299904.0,2248403712.0,2409726976.0,2563027968.0,2710000128.0,2847587328.0,2959849984.0,3035367936.0,3070312704.0,3054938880.0,2972492032.0,2817520128.0,2624930304.0,2407165696.0,2180660224.0,1971592320.0,1803939200.0,1659938944.0,1542474624.0,1453874048.0,1389510528.0,1345348096.0,1316005888.0,1296722560.0,1283979648.0,1273512576.0,1257085568.0,1266737920.0
1986,90.85127258300781,1257925504.0,1265704960.0,1279415808.0,1295178624.0,1316072576.0,1344441216.0,1384156416.0,1437837952.0,1507868416.0,1595793152.0,1703232640.0,1829847040.0,1968832768.0,2119439872.0,2271085824.0,2423695104.0,2565858560.0,2703607296.0,2827693568.0,2926591488.0,2996442880.0,3026496256.0,3007672576.0,2926404352.0,2782291968.0,2600246016.0,2397516288.0,2188676352.0,1994882944.0,1829814656.0,1688864896.0,1571389440.0,1475870720.0,1406823424.0,1358246656.0,1326131584.0,1304068352.0,1288719616.0,1277776640.0,1257085568.0,1270704512.0
1987,90.3641128540039,1257906560.0,1266101504.0,1280896128.0,1296965888.0,1318728320.0,1348802560.0,1390270208.0,1446502528.0,1519774080.0,1610752640.0,1722172032.0,1851685120.0,1992361088.0,2144051328.0,2296129280.0,2445839104.0,2587329024.0,2720986624.0,2836457984.0,2926836992.0,2984389376.0,3004571648.0,2975905792.0,2889226496.0,2742789120.0,2563202816.0,2377129984.0,2183783936.0,2000476800.0,1843482240.0,1707436032.0,1591994752.0,1495618688.0,1419729280.0,1367037952.0,1332743552.0,1308954112.0,1291934336.0,1280220544.0,1257085568.0,1272648320.0
1988,89.93374633789062,1257890176.0,1266108288.0,1281909248.0,1298841728.0,1321493760.0,1352864000.0,1396225664.0,1454290176.0,1530038656.0,1624136832.0,1737985536.0,1869532800.0,2011794944.0,2163640832.0,2313717504.0,2462297600.0,2601595648.0,2729884160.0,2838534400.0,2921507584.0,2971336192.0,2979975168.0,2941557248.0,2845992960.0,2694704128.0,2525741824.0,2351220480.0,2174715392.0,2004636416.0,1856777344.0,1725299840.0,1611212416.0,1514012928.0,1434777472.0,1377377664.0,1340086784.0,1313615360.0,1295208832.0,1282020352.0,1257085568.0,1274672768.0
1989,89.94418334960938,1257847936.0,1265665152.0,1281510144.0,1298724608.0,1321923584.0,1353720320.0,1398109568.0,1457075200.0,1534258304.0,1629871232.0,1743783424.0,1874350208.0,2014894080.0,2164245760.0,2313201920.0,2459963904.0,2600229888.0,2726547200.0,2835003136.0,2909969408.0,2949182720.0,2949616896.0,2906279680.0,2801927680.0,2655723008.0,2496699136.0,2333126144.0,2173498624.0,2017380992.0,1876299520.0,1751119616.0,1636364288.0,1537086080.0,1454363648.0,1391035648.0,1348251264.0,1319397120.0,1298713472.0,1284148992.0,1257085568.0,1277159040.0
1990,89.96563720703125,1257816192.0,1265295232.0,1281929856.0,1299900160.0,1323749888.0,1356577024.0,1401371904.0,1460485120.0,1537983360.0,1632841088.0,1747211520.0,1876229120.0,2014431616.0,2162228480.0,2311639040.0,2459428352.0,2603055616.0,2728925696.0,2832801792.0,2900662272.0,2932910080.0,2923487488.0,2868189696.0,2761434112.0,2622637824.0,2471096064.0,2320715264.0,2175625216.0,2034211328.0,1901083520.0,1780852736.0,1666475648.0,1562606464.0,1475748224.0,1407328512.0,1358460672.0,1326334080.0,1302806912.0,1286868736.0,1257085568.0,1279307520.0
1991,90.07017517089844,1257772672.0,1264841088.0,1281617664.0,1300755072.0,1325501568.0,1359214080.0,1404894208.0,1464772608.0,1543364480.0,1639146880.0,1753551360.0,1881672960.0,2018509440.0,2165265408.0,2315088384.0,2463313408.0,2608282368.0,2732753920.0,2830396928.0,2894861568.0,2921140992.0,2903481344.0,2843842304.0,2735482624.0,2599538944.0,2455590912.0,2312716544.0,2182201088.0,2052205440.0,1926768256.0,1811018624.0,1699779072.0,1595258624.0,1502342144.0,1426931200.0,1372788352.0,1335218304.0,1309975680.0,1291065856.0,1257085568.0,1283002240.0
1992,90.50173950195312,1257725184.0,1264234240.0,1280090752.0,1300007424.0,1325412992.0,1359597312.0,1406027776.0,1466283648.0,1544101120.0,1639736960.0,1753223040.0,1882532608.0,2021354624.0,2169524480.0,2321845504.0,2469582848.0,2614363392.0,2741576960.0,2838420736.0,2899542272.0,2922905600.0,2899330560.0,2833418496.0,2723460864.0,2580820224.0,2435314176.0,2297825024.0,2180542464.0,2067654272.0,1958501888.0,1848364416.0,1743362560.0,1641203328.0,1544915456.0,1461401984.0,1396072320.0,1350716800.0,1319989504.0,1298022400.0,1257085568.0,1285103232.0
1993,90.78369140625,1257715200.0,1264186240.0,1279765504.0,1300578048.0,1327018368.0,1362274944.0,1409429504.0,1470547968.0,1548957568.0,1644143616.0,1757587712.0,1886783488.0,2025444096.0,2172156160.0,2323627264.0,2470885888.0,2613737728.0,2740693248.0,2836676864.0,2895412992.0,2917142016.0,2889698048.0,2817195520.0,2707279104.0,2561455872.0,2413950976.0,2280167168.0,2172300544.0,2075277440.0,1979802112.0,1886337280.0,1787482368.0,1690272768.0,1593462400.0,1503385216.0,1427127296.0,1371581184.0,1334167296.0,1307356416.0,1257085568.0,1294073856.0
