years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,98.3055419921875,29500436.0,29500436.0,29500536.0,29501550.0,29505644.0,29517238.0,29560360.0,29691410.0,29932946.0,30406176.0,31256446.0,32625008.0,34674836.0,38023132.0,42714836.0,48122940.0,53765100.0,59554432.0,64450408.0,68923712.0,71407504.0,72797976.0,71439944.0,65874864.0,58013176.0,49092888.0,41412224.0,36080484.0,32389964.0,30617154.0,30018048.0,29756480.0,29590872.0,29529690.0,29504524.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0
1985,102.76524353027344,29500436.0,29500436.0,29500508.0,29501384.0,29504856.0,29513592.0,29542964.0,29616880.0,29795686.0,30160296.0,30797332.0,31881164.0,33454048.0,35793016.0,39123624.0,43597136.0,48646696.0,54493652.0,60300928.0,66174488.0,71173128.0,75777712.0,79177384.0,77132872.0,68571584.0,58508140.0,48598840.0,39675360.0,34526672.0,31718604.0,30529544.0,30009408.0,29677780.0,29532376.0,29515444.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0
1986,100.57653045654297,29500436.0,29500436.0,29500536.0,29501412.0,29506672.0,29518686.0,29563046.0,29669066.0,29946660.0,30469780.0,31310720.0,32647924.0,34625844.0,37322392.0,40939648.0,45897880.0,51614820.0,57842056.0,63862720.0,69680072.0,74822664.0,79419056.0,81215144.0,77864128.0,67550672.0,55874568.0,44354708.0,36305792.0,32612814.0,30779944.0,30054924.0,29739704.0,29557508.0,29506070.0,29500774.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0
1987,97.62410736083984,29500436.0,29500440.0,29500612.0,29501704.0,29509888.0,29538344.0,29622174.0,29862698.0,30379540.0,31037168.0,32259368.0,34097404.0,36376712.0,39497508.0,43839640.0,49269852.0,55703744.0,62151444.0,68218336.0,73726840.0,78150320.0,81463616.0,81958560.0,76177864.0,63900168.0,49987728.0,40129072.0,34013444.0,31096392.0,30110880.0,29791660.0,29544794.0,29503158.0,29500600.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0
1988,94.5803451538086,29500436.0,29500458.0,29500862.0,29503034.0,29518740.0,29578108.0,29773008.0,30188628.0,30845228.0,31823510.0,33462440.0,35443808.0,38171208.0,41953548.0,46962908.0,53042392.0,59664392.0,65836492.0,71012400.0,76448272.0,80667936.0,82327528.0,79332544.0,70380512.0,56795240.0,45030940.0,36568748.0,31931612.0,30466256.0,29969912.0,29679986.0,29517200.0,29502046.0,29500600.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0
1989,91.97583770751953,29500436.0,29500460.0,29501112.0,29505004.0,29530740.0,29634056.0,29932908.0,30495674.0,31298240.0,32588392.0,34303368.0,36640336.0,39699268.0,44076140.0,49438384.0,55910248.0,61872520.0,67847600.0,73456448.0,78232968.0,80346608.0,79188488.0,73636776.0,62765432.0,50814856.0,41004316.0,34273232.0,31331012.0,30419628.0,29947204.0,29597304.0,29508366.0,29501078.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0
1990,89.9691390991211,29500436.0,29500444.0,29501120.0,29505114.0,29535908.0,29657284.0,30013208.0,30648708.0,31612848.0,33090208.0,35180536.0,37770364.0,41022148.0,45638740.0,51525224.0,57947104.0,64208384.0,69721808.0,74583328.0,77635928.0,77793184.0,74768688.0,67351928.0,57325216.0,46429080.0,38208312.0,33327212.0,31371116.0,30600300.0,30033052.0,29676856.0,29615612.0,29594140.0,29548898.0,29531782.0,29510812.0,29501696.0,29500436.0,29500436.0,29500436.0,29500436.0
1991,90.75021362304688,29500436.0,29500444.0,29500768.0,29504920.0,29535926.0,29653064.0,29948516.0,30541648.0,31547280.0,33110044.0,35142704.0,37361764.0,40250512.0,44444916.0,50084648.0,55985968.0,61339436.0,66186440.0,70606264.0,73654592.0,74627432.0,73023104.0,66893660.0,57330100.0,47824056.0,39855908.0,35286944.0,33020062.0,31372090.0,30449372.0,29975358.0,29741160.0,29570456.0,29534956.0,29501624.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0
1992,90.65773010253906,29500436.0,29500452.0,29500960.0,29504956.0,29533184.0,29662258.0,29946672.0,30569872.0,31657208.0,33354412.0,35358940.0,37647356.0,40670628.0,44999048.0,50607888.0,56343784.0,61830096.0,66616320.0,70851040.0,73087976.0,73900040.0,72077528.0,66546696.0,58489560.0,49245960.0,40824928.0,35861396.0,33387648.0,31526994.0,30466708.0,29947082.0,29698904.0,29567862.0,29521148.0,29501454.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0
1993,91.92174530029297,29500436.0,29500460.0,29501030.0,29505670.0,29536612.0,29652890.0,29909432.0,30517640.0,31562908.0,33021764.0,34866328.0,37028356.0,39941424.0,44071112.0,49402940.0,55330312.0,61012880.0,66649300.0,71237888.0,74502432.0,75954272.0,74133008.0,69080864.0,61482896.0,52363008.0,43286348.0,37162392.0,33676432.0,31538974.0,30572690.0,29880932.0,29669048.0,29550624.0,29512012.0,29500772.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0,29500436.0
