years,0,1,2,3,4,5,6,7,8,9,10
1984,662916525,285230185,68791115,61025505,42952566,1205299,255194,29540389,49752402,55416377,0
1985,662819840,284138882,70864142,61389509,42964204,1153900,255315,29295661,49646476,54557628,0
1986,662674098,283109745,72564867,60270023,42553438,1140964,226513,28239898,50072238,56233773,0
1987,662623172,281781164,71565685,60191781,43316096,1141436,221283,27791693,51220387,57232860,0
1988,662574302,280953857,69238502,59873511,44463677,1154122,216329,27637383,52637035,58336839,0
1989,662544709,281719924,65385446,58784626,45301791,1176068,216075,27430802,54494124,60031992,0
1990,662511765,281344963,61814556,58104744,46118014,1181846,213206,27674431,56360267,61761765,0
1991,662480145,280480168,59528540,57321609,47246224,1202101,207563,28027510,57619779,62971918,0
1992,662453004,279858878,58733669,56829149,48339022,1212928,183408,28210275,58264222,63001002,0
1993,662429165,278895277,57125791,56119709,49494751,1230685,184534,28466374,59351409,63787862,0
1994,662408617,277994031,54518812,55458890,50842843,1286029,187979,28817755,60899945,64670656,0
1995,662390955,277290603,51898515,54749895,52175264,1335199,183192,29182107,62168290,65711537,0
1996,662380547,276575843,49299586,54231823,53427410,1427993,186925,29598427,63420498,66536505,0
1997,662367716,275835513,46722840,53699186,54409376,1507753,186998,29963572,64655671,67736932,0
1998,662361687,275207510,44085059,53305564,55372700,1604620,193925,30340513,65795694,68818285,0
1999,662361172,274725963,41540158,52664012,56322419,1694771,205537,30681193,66898678,69991654,0
2000,662344742,274466588,39175877,51921348,57206848,1797192,218416,30973660,68063070,70917813,3
2001,662356301,274334669,36994337,51613282,58063351,1927685,223380,31296731,68769086,71506735,0
2002,662354253,274031063,35460319,51295153,58843695,2048991,213591,31593375,69497576,71747530,11
2003,662306170,273933432,33504965,51082758,59401343,2138918,237975,31816915,70137053,72525773,255
2004,662300773,273929087,31857729,50779818,59854547,2225458,267719,32013479,70596111,73260177,659
2005,662290381,274027817,30331392,50569743,59952881,2287953,301845,32222108,70911981,74188264,1192
2006,662283085,274070888,29063712,50498216,60028720,2407659,345688,32416552,70797596,75172500,941
2007,662277459,273776750,28185551,49713984,60087571,2520939,400700,32572744,71552422,75995960,1477
2008,662266084,273718001,27319489,49393302,60226428,2649115,464927,32631484,71807129,76607307,2291
2009,662257116,273767109,26561177,48968295,60385379,2770757,538339,32701142,71883768,77248473,4002
2010,662251389,273861412,25732035,48671566,59878202,3037550,613285,32730881,72048932,78253945,6360
2011,662245549,274605076,24592423,48409477,59924066,3180019,679099,32768445,71983824,78687390,10189
2012,662245745,275456452,23603010,48386345,59838042,3374896,751639,32854276,71503733,79058062,13357
2013,662251720,276256835,22683405,49416941,59305964,3575138,824035,32720258,70537678,79494898,18685
2014,662280802,276710568,21680245,49663877,59496123,4039791,892187,32789113,70259758,79248079,25014
2015,662292816,276675365,21077938,50307539,59941523,4550510,950777,32852206,69716597,78687799,32487
2016,662270160,276887895,20338141,50813964,60479719,5311133,983164,32799295,69307190,77854184,40712
2017,662278574,277087174,19616835,51660132,60999601,6216466,995463,32659992,68328523,77192722,50075
2018,662273610,277586780,18810708,52705777,61505567,7321798,979690,32552034,67177450,76115179,56964
2019,662280778,278299328,18005793,54363038,61601974,8819307,977313,32344733,65638702,74687523,67068
2020,662296125,279333292,17281575,55422282,61450628,10609132,982660,32143129,64302128,73183021,81585
2021,662302436,280596612,16599485,56452730,61078721,12751641,981908,31923055,62624635,71668716,105618
2022,662336984,281779718,16075223,57724358,61002515,14724928,981055,31634625,60815319,69878337,132495
2023,662442214,283205321,15778532,59103335,61170869,16729324,985998,31102890,58667283,67738806,160985
2024,661526674,286840312,14892163,60274348,63000305,19837729,986532,30430814,54832465,64269466,194749
