years,0,1,2,3,4,5,6,7,8,9,10
1984,10725498,874275,41105,1503249,45287,4,0,8976,1429526,317747,0
1985,10725499,874260,41056,1502763,45379,5,0,9011,1429918,317776,0
1986,10725501,874296,41100,1503071,45257,4,0,8977,1429723,317738,0
1987,10725498,874259,41075,1502699,45332,5,0,9008,1430077,317714,0
1988,10725499,874332,41045,1503089,45253,5,0,9028,1429699,317717,0
1989,10725499,874307,41057,1502506,45222,5,0,9011,1430415,317645,0
1990,10725500,874259,41089,1503152,45297,5,0,9004,1429685,317676,0
1991,10725499,874283,41058,1502893,45340,4,0,8964,1429808,317818,0
1992,10725504,874302,41115,1503008,45340,5,0,8999,1429648,317746,0
1993,10725496,874280,41052,1502985,45270,5,0,9012,1429820,317747,0
1994,10725500,874250,41107,1502647,45210,5,0,9020,1430241,317687,0
1995,10725500,874318,41069,1502516,45290,4,0,8987,1430284,317699,0
1996,10725501,874296,41134,1503058,45173,5,0,9005,1429795,317700,0
1997,10725500,874292,41075,1503048,45223,4,0,8983,1429860,317682,0
1998,10725499,874299,41024,1503292,45296,4,0,9010,1429578,317665,0
1999,10725499,874295,41062,1502751,45302,5,0,8963,1430000,317790,0
2000,10725496,874013,38292,1402927,43492,0,0,8680,1521720,331047,0
2001,10725496,878426,30142,1362585,46989,2,0,8301,1545485,348241,0
2002,10725496,879182,26640,1311039,50249,12,0,7224,1584082,361743,0
2003,10725370,889856,19359,1272418,47582,79,0,7653,1610808,372542,0
2004,10725204,897978,14048,1217748,44916,104,0,7999,1654968,382702,0
2005,10725110,902248,10664,1138740,41335,177,0,8502,1720894,397997,0
2006,10725007,907126,9264,1092915,40678,204,0,8433,1752104,409936,0
2007,10724958,902487,8858,925952,33203,3,0,7647,1919269,423290,0
2008,10724990,901975,8852,866965,32990,0,0,7156,1970858,431881,0
2009,10724887,903034,7584,800107,34249,2,0,6801,2021889,447114,0
2010,10724899,902752,6673,737475,35746,4,0,6084,2070691,461343,0
2011,10724948,899345,6513,624149,27503,0,0,5388,2185190,472631,0
2012,10724891,893847,8455,540466,3637,4,0,3481,2293467,477419,0
2013,10724869,893432,4754,512735,1138,18,0,2028,2320454,486239,0
2014,10724942,893513,3355,512758,905,41,0,1286,2316597,492270,0
2015,10724905,896947,1069,560749,984,71,0,1193,2266435,493314,0
2016,10724854,900927,295,573167,1083,102,0,1187,2255151,488901,0
2017,10724899,905399,182,633376,1032,159,0,977,2199983,479660,0
2018,10724967,909419,146,689652,905,212,0,1027,2144546,474793,0
2019,10725114,917892,142,942428,828,322,0,371,1887938,470632,0
2020,10725233,924430,97,962665,741,420,0,1002,1868421,462658,0
2021,10724856,929897,125,940836,673,606,0,5060,1863805,479809,0
2022,10724775,933448,436,905222,1978,3231,0,11040,1835144,530393,0
2023,10724823,931392,1112,776558,5265,17731,0,10372,1898214,580200,0
2024,10720464,934694,1400,765715,12645,113976,0,8526,1853622,534625,0
